"chaff","dehulled","hulled","ergot","filename","method","trainingdatafiles","run_date","run_time"
27,47,2,"5","20220105_155704_0055.JPG","computer",31,2022-04-05,2022-04-05 16:38:45
1,43,74,"3","20220105_155704_0055.JPG","human",31,2022-04-05,2022-04-05 16:38:45
1,44,73,"3","20220105_155932_0057.JPG","human",31,2022-04-05,2022-04-05 16:38:45
1,41,73,"4","20220105_160003_0059.JPG","human",31,2022-04-05,2022-04-05 16:38:45
