"chaff","dehulled","hulled","ergot","filename","method","trainingdatafiles","run_date","run_time"
20,126,73,12,"20220525_100153_0012.JPG","computer",31,2022-05-25,2022-05-25 10:46:25
24,181,1,13,"20220525_101221_0024.JPG","computer",31,2022-05-25,2022-05-25 10:46:25
44,177,3,15,"20220525_101839_0031.JPG","computer",31,2022-05-25,2022-05-25 10:46:25
1,43,74,3,"20220525_100153_0012.JPG","human",31,2022-05-25,2022-05-25 10:46:25
1,44,73,3,"20220525_101221_0024.JPB","human",31,2022-05-25,2022-05-25 10:46:25
1,41,73,4,"20220525_101839_0031.JPG","human",31,2022-05-25,2022-05-25 10:46:25
